Date	Price Open	Price Low	Price High	Price Close	Volume
2015-10-05	6.85	6.05	7.5	6.65	154827600
2015-10-06	6.7	6.3	7.05	6.65	92676000
2015-10-07	6.6	6.45	6.7	6.5	13144900
2015-10-08	6.5	6.15	6.65	6.15	17654900
2015-10-09	6.25	6.05	6.35	6.1	12007400
2015-10-12	6.15	6.15	6.5	6.3	24629700
2015-10-13	6.35	6.0	6.4	6.05	11461200
2015-10-14	6.1	6.05	6.15	6.1	3218800
2015-10-15	6.15	5.9	6.15	6.0	4493100
2015-10-16	6.0	5.9	6.05	5.95	1971000
2015-10-19	5.95	5.95	6.15	6.0	4417900
2015-10-20	6.05	6.0	6.2	6.05	7754500
2015-10-21	6.1	6.0	6.1	6.0	3448500
2015-10-22	6.0	5.9	6.05	5.95	2616400
2015-10-26	5.95	5.95	6.15	6.0	4279700
2015-10-27	6.0	5.9	6.1	5.9	5188500
2015-10-28	5.9	5.75	5.95	5.8	4744900
2015-10-29	5.8	5.6	5.85	5.6	3889900
2015-10-30	5.6	5.55	5.7	5.6	2355800
2015-11-02	5.6	5.55	5.7	5.7	1185400
2015-11-03	5.7	5.7	5.9	5.8	2480600
2015-11-04	5.85	5.8	6.0	5.9	3854500
2015-11-05	5.95	5.9	6.7	6.7	49159200
2015-11-06	6.6	6.35	6.8	6.45	29527500
2015-11-09	6.55	6.35	7.15	6.55	59799100
2015-11-10	6.5	6.4	6.6	6.5	17333700
2015-11-11	6.55	6.4	6.75	6.4	17590400
2015-11-12	6.45	6.2	6.5	6.25	4792400
2015-11-13	6.3	6.1	6.4	6.15	3589300
2015-11-16	6.1	5.95	6.15	6.05	5842700
2015-11-17	6.1	5.75	6.1	5.75	6065100
2015-11-18	5.85	5.8	6.1	6.0	8022200
2015-11-19	6.05	5.9	6.1	6.0	3488600
2015-11-20	6.0	5.95	6.35	6.2	9886300
2015-11-23	6.15	6.1	6.3	6.3	3149400
2015-11-24	6.3	6.05	6.3	6.1	3346200
2015-11-25	6.05	5.95	6.05	5.95	2673600
2015-11-26	6.0	5.85	6.05	5.9	3438200
2015-11-27	5.9	5.9	6.5	6.5	20479800
2015-11-30	6.5	6.4	6.7	6.45	8947500
2015-12-01	6.45	6.25	6.5	6.45	1825000
2015-12-02	6.45	6.2	6.6	6.25	5071000
2015-12-03	6.3	5.9	6.3	6.1	7648400
2015-12-04	6.1	6.05	6.3	6.2	1733100
2015-12-08	6.2	6.05	6.35	6.2	6070000
2015-12-09	6.25	6.25	6.4	6.3	2633200
2015-12-11	6.35	6.25	6.35	6.3	2984900
2015-12-14	6.3	6.15	6.35	6.35	2265000
2015-12-15	6.4	6.35	6.9	6.85	20285300
2015-12-16	6.95	6.55	7.1	6.6	14194000
2015-12-17	6.65	6.6	6.8	6.7	2226600
2015-12-18	6.75	6.7	7.35	7.25	38137100
2015-12-21	7.1	6.6	7.2	6.65	15077000
2015-12-22	6.7	6.4	6.85	6.5	12332000
2015-12-23	6.5	6.25	6.55	6.3	5878300
2015-12-24	6.35	6.3	6.65	6.65	4011800
2015-12-25	6.65	6.5	6.7	6.65	1467600
2015-12-28	6.65	6.6	6.95	6.7	5179600
2015-12-29	6.7	6.7	6.9	6.85	2598100
2015-12-30	6.85	6.75	7.0	6.8	2426800
2016-01-04	6.8	6.5	6.9	6.55	2335200
2016-01-05	6.6	6.4	6.6	6.5	1115400
2016-01-06	6.5	6.45	6.7	6.6	1046000
2016-01-07	6.45	6.35	6.5	6.4	1916400
2016-01-08	6.45	6.4	6.6	6.4	1899400
2016-01-11	6.5	6.45	6.65	6.6	3336300
2016-01-12	6.7	6.55	6.8	6.55	4744700
2016-01-13	6.6	6.2	6.7	6.4	11329600
2016-01-14	6.35	6.1	6.35	6.15	6445900
2016-01-15	6.2	6.05	6.4	6.05	7059700
2016-01-18	6.05	6.0	6.1	6.05	2371900
2016-01-19	6.15	6.05	6.2	6.1	4480800
2016-01-20	6.1	6.0	6.1	6.0	3056300
2016-01-21	6.1	5.9	6.1	5.95	2891000
2016-01-22	6.0	5.9	6.1	5.9	5474000
2016-01-25	5.95	5.95	6.2	6.0	6178400
2016-01-26	6.0	6.0	6.15	6.0	2613200
2016-01-27	6.05	6.0	6.1	6.0	1341200
2016-01-28	6.0	5.9	6.1	5.9	1611100
2016-01-29	5.9	5.9	6.1	6.05	1375700
2016-02-01	6.1	6.05	6.45	6.3	11991400
2016-02-02	6.3	6.1	6.3	6.1	5170100
2016-02-03	6.1	6.1	6.5	6.5	4806000
2016-02-04	6.55	6.35	6.6	6.5	8044100
2016-02-05	6.6	6.4	6.65	6.4	4203000
2016-02-08	6.45	6.35	6.45	6.45	1249100
2016-02-09	6.45	6.3	6.5	6.35	1193000
2016-02-10	6.35	6.35	6.95	6.75	32836400
2016-02-11	6.6	6.45	6.75	6.55	6868900
2016-02-12	6.5	6.45	6.7	6.65	6639500
2016-02-15	6.75	6.6	6.9	6.7	10506100
2016-02-16	6.7	6.6	6.85	6.8	6937400
2016-02-17	6.85	6.85	7.3	7.15	61371700
2016-02-18	7.2	7.0	7.2	7.2	16501900
2016-02-19	7.15	6.95	7.5	6.95	43732400
2016-02-23	7.0	6.95	7.05	7.05	7952600
2016-02-24	6.95	6.9	7.15	6.95	9564200
2016-02-25	7.05	6.95	7.25	7.15	15928900
2016-02-26	7.15	7.0	7.15	7.0	5235800
2016-02-29	7.05	6.85	7.05	6.9	5740200
2016-03-01	6.9	6.55	7.0	6.7	10701600
2016-03-02	6.7	6.65	6.95	6.95	3442700
2016-03-03	6.95	6.75	7.0	6.85	2668500
2016-03-04	6.8	6.75	6.95	6.9	3853600
2016-03-07	7.0	7.0	7.15	7.1	8282900
2016-03-08	7.05	6.8	7.1	6.9	2974400
2016-03-09	6.9	6.85	6.95	6.85	975700
2016-03-10	6.9	6.85	7.2	7.15	12896000
2016-03-11	7.25	7.0	7.25	7.2	6843400
2016-03-14	7.2	7.05	7.2	7.15	2863700
2016-03-15	7.1	7.1	7.6	7.45	36084600
2016-03-16	7.5	7.3	7.5	7.4	6689700
2016-03-17	7.45	7.45	7.8	7.6	21028900
2016-03-18	7.55	7.55	7.8	7.7	6356100
2016-03-21	7.75	7.6	7.8	7.7	5970900
2016-03-22	7.7	7.4	8.0	7.6	15831400
2016-03-23	7.55	7.45	7.6	7.6	3459500
2016-03-24	7.6	7.5	7.65	7.5	1757300
2016-03-25	7.5	7.5	7.7	7.5	2941400
2016-03-28	7.55	7.25	7.55	7.3	4733600
2016-03-29	7.3	7.25	7.45	7.45	1818600
2016-03-30	7.45	7.3	7.5	7.35	2677200
2016-03-31	7.35	7.3	7.5	7.4	11349600
2016-04-01	7.4	7.3	7.5	7.4	5680000
2016-04-04	7.4	7.4	7.7	7.7	5554100
2016-04-05	7.65	7.55	7.7	7.55	4154900
2016-04-07	7.6	7.35	7.7	7.35	5697600
2016-04-08	7.45	7.35	7.55	7.55	3242200
2016-04-11	7.55	7.5	7.65	7.55	3013800
2016-04-12	7.55	7.5	7.8	7.8	7973700
2016-04-18	7.85	7.75	8.3	8.2	23671600
2016-04-19	8.25	8.1	8.25	8.25	8672700
2016-04-20	8.2	8.0	8.25	8.2	7978500
2016-04-21	8.2	8.05	8.4	8.05	15439700
2016-04-22	8.05	7.8	8.15	8.15	6492500
2016-04-25	8.1	8.05	8.2	8.1	2083400
2016-04-26	8.1	8.05	8.3	8.25	6875500
2016-04-27	8.25	8.15	8.4	8.3	12502500
2016-04-28	8.35	8.05	8.35	8.15	5960500
2016-04-29	8.1	8.0	8.25	8.0	7233900
2016-05-03	8.0	7.85	8.1	8.0	6866300
2016-05-04	7.9	7.7	7.9	7.9	3974500
2016-05-06	7.9	7.7	7.9	7.9	3974500
2016-05-09	7.85	7.8	7.95	7.95	3217300
2016-05-10	7.95	7.9	8.25	8.25	9624400
2016-05-11	8.2	8.1	8.45	8.15	11930700
2016-05-12	8.2	8.05	8.2	8.05	5652600
2016-05-13	8.1	8.0	8.3	8.05	5426100
2016-05-16	8.1	7.95	8.15	8.05	2748200
2016-05-17	8.1	8.05	8.3	8.15	8284800
2016-05-18	8.15	7.5	8.15	7.6	27338900
2016-05-19	7.55	7.35	7.6	7.35	7763100
2016-05-23	7.3	7.3	7.55	7.4	2848800
2016-05-24	7.4	7.4	7.7	7.6	4438400
2016-05-25	7.7	7.6	7.75	7.65	3822000
2016-05-26	7.7	7.55	7.8	7.8	4170700
2016-05-27	7.75	7.65	7.8	7.75	1851900
2016-05-30	7.7	7.65	7.9	7.8	2521700
2016-05-31	7.85	7.85	8.05	7.95	7155700
2016-06-01	8.0	7.85	8.05	7.9	1262100
2016-06-02	7.9	7.85	7.95	7.9	1504700
2016-06-03	8.05	7.85	8.05	7.85	2022500
2016-06-06	7.85	7.85	8.15	8.05	6079700
2016-06-07	8.1	7.9	8.15	7.9	4510100
2016-06-08	7.95	7.75	7.95	7.75	2369300
2016-06-09	7.8	7.75	7.85	7.85	3187300
2016-06-10	7.9	7.75	7.9	7.75	1182100
2016-06-13	7.7	7.65	7.8	7.75	819400
2016-06-14	7.7	7.7	7.8	7.75	603300
2016-06-15	7.75	7.7	7.85	7.8	1411600
2016-06-16	7.8	7.65	7.8	7.65	1168300
2016-06-17	7.75	7.75	8.0	7.85	4582700
2016-06-20	7.85	7.7	7.9	7.7	2419700
2016-06-21	7.75	7.7	7.8	7.75	1434800
2016-06-22	7.75	7.65	7.9	7.7	2139000
2016-06-23	7.7	7.5	7.7	7.65	2230300
2016-06-24	7.5	7.45	7.65	7.5	2813300
2016-06-27	7.55	7.45	7.85	7.7	3002700
2016-06-28	7.65	7.65	7.85	7.8	5113000
2016-06-29	7.85	7.65	7.9	7.65	3377700
2016-06-30	7.7	7.65	7.75	7.75	1424100
2016-07-04	7.75	7.65	7.8	7.65	1033900
2016-07-05	7.65	7.65	7.85	7.75	3182900
2016-07-06	7.75	7.75	8.0	7.8	8488600
2016-07-07	7.9	7.85	8.05	7.9	6556100
2016-07-08	7.95	7.8	8.0	7.85	3665500
2016-07-11	7.9	7.85	8.25	8.2	14161300
2016-07-12	8.2	8.15	8.45	8.45	12096400
2016-07-13	8.6	8.4	8.75	8.4	13361400
2016-07-14	8.4	8.3	8.65	8.6	7595200
2016-07-15	8.6	8.55	8.9	8.65	23029300
2016-07-20	8.8	8.65	8.9	8.65	7521800
2016-07-21	8.65	8.35	8.65	8.4	6012600
2016-07-22	8.4	8.2	8.4	8.3	3501300
2016-07-25	8.35	8.3	8.65	8.6	4447800
2016-07-26	8.6	8.4	8.65	8.6	3146200
2016-07-27	8.7	8.55	8.75	8.55	2771100
2016-07-28	8.55	8.25	8.55	8.45	6324300
2016-07-29	8.4	8.05	8.5	8.2	7226900
2016-08-01	8.1	7.7	8.1	7.8	27550700
2016-08-02	7.75	7.65	7.85	7.7	4263500
2016-08-03	7.7	7.65	7.9	7.8	6189000
2016-08-04	7.85	7.75	7.9	7.75	2453100
2016-08-05	7.75	7.75	8.05	7.9	5801800
2016-08-08	7.95	7.9	8.0	7.9	1458400
2016-08-09	8.0	7.85	8.0	7.85	1437400
2016-08-10	7.85	7.8	8.0	8.0	1281500
2016-08-11	7.85	7.5	7.85	7.85	9564300
2016-08-15	7.85	7.8	8.0	7.95	1975900
2016-08-16	7.9	7.9	8.0	7.9	3895000
2016-08-17	7.9	7.9	8.2	8.2	6713600
2016-08-18	8.2	8.05	8.45	8.35	10447100
2016-08-19	8.5	8.2	8.5	8.25	8872100
2016-08-22	8.25	8.15	8.4	8.35	6284900
2016-08-23	8.4	8.2	8.55	8.3	13053200
2016-08-24	8.35	8.25	8.45	8.25	9254500
2016-08-25	8.25	8.2	8.35	8.25	2500300
2016-08-26	8.3	8.2	8.35	8.35	1473100
2016-08-29	8.4	8.25	8.5	8.35	6903900
2016-08-30	8.35	8.35	8.6	8.55	7569100
2016-08-31	8.55	8.45	8.55	8.55	2276600
2016-09-01	8.5	8.15	8.55	8.2	4263900
2016-09-02	8.25	7.85	8.25	8.05	11133000
2016-09-05	8.0	7.55	8.0	7.95	7454200
2016-09-06	7.85	7.85	8.05	8.0	868000
2016-09-07	8.05	7.9	8.15	7.9	8481400
2016-09-08	8.0	7.3	8.0	7.3	13792900
2016-09-09	7.3	7.1	7.55	7.45	5419500
2016-09-12	7.3	7.3	7.5	7.35	2315800
2016-09-13	7.5	7.35	7.65	7.6	4366500
2016-09-14	7.55	7.5	7.8	7.7	2183600
2016-09-15	7.75	7.65	7.9	7.85	2677300
2016-09-16	7.85	7.75	7.9	7.85	2542700
2016-09-19	7.8	7.8	7.95	7.95	844500
2016-09-20	7.95	7.8	7.95	7.85	1377400
