Date	Price Open	Price Low	Price High	Price Close	Volume
2012-09-10	2.2	2.2	2.2	2.2	3000.0
2012-09-11	2.4	2.4	2.4	2.4	4000.0
2012-09-17	2.7	2.7	2.7	2.7	2000.0
2012-09-21	2.9	2.9	2.9	2.9	2000.0
2012-09-26	3.26	3.26	3.26	3.26	2000.0
2012-11-20	3.26	3.26	3.26	3.26	4000.0
2012-11-22	3.3	3.3	3.4	3.4	9000.0
2012-11-28	3.6	3.6	3.6	3.6	4000.0
2015-03-06	15.0	15.0	15.6	15.6	80000.0
2015-03-09	15.8	15.8	15.9	15.9	2000.0
2015-03-13	15.4	15.4	15.4	15.4	3000.0
2015-05-22	15.5	15.5	15.5	15.5	30000.0
2016-09-23	16.6	16.6	16.6	16.6	3300.0
