Date	Price Open	Price Low	Price High	Price Close	Volume
2000-01-31	8.1	7.0	8.1	7.8	51000.0
2000-02-01	7.8	7.8	7.8	7.8	3000.0
2000-02-02	8.4	8.4	8.4	8.4	2000.0
2000-02-09	8.2	8.2	8.2	8.2	5000.0
2000-02-22	8.0	8.0	8.0	8.0	3000.0
2000-02-24	8.0	8.0	8.3	8.3	4000.0
2000-02-25	8.3	8.3	8.3	8.3	2000.0
2000-03-02	7.1	7.1	8.6	8.6	6200.0
2000-03-03	8.1	8.1	8.1	8.1	4000.0
2000-03-08	8.0	8.0	8.0	8.0	10000.0
2000-03-09	8.0	8.0	8.0	8.0	6200.0
2000-03-15	8.0	8.0	8.0	8.0	2800.0
2000-03-21	7.9	7.9	7.9	7.9	3000.0
2000-03-23	7.8	7.8	7.8	7.8	3000.0
2000-03-29	9.0	9.0	9.0	9.0	6200.0
2000-03-30	8.5	8.5	8.5	8.5	4200.0
2000-04-12	9.5	7.9	9.5	9.0	2100.0
2000-04-18	9.1	9.1	9.1	9.1	100.0
2000-04-19	8.1	7.9	8.1	8.1	5200.0
2000-04-20	8.0	8.0	8.0	8.0	100.0
2000-04-21	8.5	8.5	8.6	8.6	3100.0
2000-04-28	8.0	8.0	8.0	8.0	1200.0
2000-05-03	7.1	7.1	7.9	7.9	2600.0
2000-05-11	7.5	7.5	7.5	7.5	2000.0
2000-05-15	7.5	7.5	7.5	7.5	6900.0
2000-05-16	7.6	7.6	7.6	7.6	11000.0
2000-05-18	7.5	7.5	7.5	7.5	10000.0
2000-05-22	7.5	7.5	7.5	7.5	6500.0
2000-05-23	7.5	7.5	7.5	7.5	10900.0
2000-05-24	7.5	7.5	7.5	7.5	16000.0
2000-06-07	7.3	7.3	7.3	7.3	1000.0
2000-06-08	7.3	7.3	7.5	7.5	2400.0
2000-06-13	7.8	7.8	7.8	7.8	12400.0
2000-06-21	7.8	7.8	7.8	7.8	10000.0
2000-06-29	7.0	7.0	7.0	7.0	6000.0
2000-07-03	7.5	7.2	7.5	7.2	3000.0
2000-07-04	7.2	7.2	7.2	7.2	1500.0
2000-07-10	7.3	7.3	7.3	7.3	1500.0
2000-07-12	7.2	7.2	7.2	7.2	200.0
2000-07-14	7.2	7.2	7.2	7.2	3500.0
2000-07-20	7.2	7.2	7.2	7.2	3000.0
2000-07-24	7.2	7.2	7.2	7.2	10000.0
2000-09-06	7.0	7.0	7.0	7.0	3000.0
2000-09-12	7.5	7.5	7.5	7.5	3000.0
2000-09-14	6.7	6.7	6.7	6.7	900.0
2000-09-15	7.2	7.2	7.2	7.2	5000.0
2000-09-26	7.2	7.2	7.2	7.2	5000.0
2000-10-09	7.2	7.2	7.2	7.2	1000.0
2000-10-10	6.2	6.2	6.2	6.2	400.0
2000-10-11	6.5	6.5	6.5	6.5	5000.0
2000-10-12	7.0	7.0	7.0	7.0	3000.0
2000-10-13	6.5	6.5	6.5	6.5	2000.0
2000-10-18	7.0	7.0	7.0	7.0	3000.0
2000-10-20	7.2	7.2	7.5	7.5	7000.0
2000-10-24	7.0	6.8	7.0	6.8	15000.0
2000-11-15	7.0	7.0	7.0	7.0	300.0
2000-11-21	7.0	7.0	7.0	7.0	100.0
2000-12-18	7.0	7.0	7.0	7.0	2000.0
2000-12-19	7.0	7.0	7.0	7.0	174400.0
2000-12-20	7.0	7.0	7.0	7.0	5000.0
2000-12-21	7.0	7.0	7.0	7.0	3800.0
2000-12-22	7.0	7.0	7.0	7.0	5000.0
2000-12-26	7.0	7.0	7.0	7.0	5000.0
2000-12-27	7.0	7.0	7.1	7.1	15000.0
2000-12-28	7.0	7.0	7.0	7.0	5000.0
2000-12-29	7.5	7.5	7.5	7.5	500.0
2001-01-09	7.0	7.0	7.0	7.0	400.0
2001-01-15	7.0	7.0	7.0	7.0	1000.0
2001-01-16	7.0	7.0	7.0	7.0	100.0
2001-01-30	6.7	6.7	6.7	6.7	1000.0
2001-02-06	6.4	6.4	6.4	6.4	600.0
2001-02-12	6.4	6.2	6.4	6.2	3000.0
2001-02-13	6.7	6.7	6.7	6.7	800.0
2001-02-14	6.9	6.9	6.9	6.9	1200.0
2001-02-20	7.6	7.6	7.6	7.6	1500.0
2001-02-26	7.0	6.9	7.0	6.9	1000.0
2001-03-07	6.8	6.8	6.9	6.9	6000.0
2001-03-13	7.4	7.4	7.4	7.4	100.0
2001-03-23	7.5	7.5	7.5	7.5	100.0
2001-04-05	7.0	7.0	7.0	7.0	1000.0
2001-04-12	6.4	6.2	7.0	6.2	3300.0
2001-04-17	6.1	6.1	6.3	6.3	1100.0
2001-04-19	6.4	6.4	6.4	6.4	1000.0
2001-04-20	6.2	6.0	6.2	6.0	16700.0
2001-04-23	5.9	5.9	5.9	5.9	1000.0
2001-04-25	5.9	5.9	5.9	5.9	1000.0
2001-04-26	5.6	5.6	5.6	5.6	900.0
2001-04-27	5.8	5.8	5.8	5.8	100.0
2001-04-30	5.8	5.8	6.3	6.0	31000.0
2001-05-03	6.0	6.0	6.0	6.0	3000.0
2001-05-04	6.0	5.7	6.0	6.0	36100.0
2001-05-09	6.0	6.0	6.0	6.0	8400.0
2001-05-11	5.7	5.3	6.0	6.0	21100.0
2001-05-14	6.0	6.0	6.0	6.0	10000.0
2001-05-15	6.0	5.9	6.0	5.9	14100.0
2001-05-16	6.0	6.0	6.0	6.0	5000.0
2001-05-17	6.0	6.0	6.0	6.0	1000.0
2001-05-21	6.3	6.3	6.3	6.3	100.0
2001-05-22	5.9	5.9	5.9	5.9	4000.0
2001-05-23	6.0	6.0	6.0	6.0	8700.0
2001-05-30	6.5	6.5	6.6	6.6	4400.0
2001-06-01	6.6	6.6	7.0	7.0	8800.0
2001-06-11	6.4	6.4	6.4	6.4	2000.0
2001-06-15	7.0	7.0	7.3	7.3	5500.0
2001-06-18	6.7	6.7	6.7	6.7	2000.0
2001-06-19	7.0	6.8	7.0	6.8	2500.0
2001-06-20	6.8	6.8	6.8	6.8	15000.0
2001-06-21	6.8	6.8	6.8	6.8	6500.0
2001-06-22	6.7	6.7	6.7	6.7	2000.0
2001-06-25	6.7	6.5	6.9	6.5	23000.0
2001-06-26	6.8	6.8	6.9	6.9	25500.0
2001-06-27	7.0	7.0	7.0	7.0	2000.0
2001-06-28	6.9	6.9	7.0	7.0	22000.0
2001-07-02	7.1	7.1	7.5	7.5	90900.0
2001-07-03	7.8	7.6	8.9	8.7	214500.0
2001-07-04	9.0	8.8	9.3	8.9	363800.0
2001-07-05	9.3	8.5	9.6	8.8	96900.0
2001-07-09	8.8	8.0	10.25	10.0	290500.0
2001-07-10	10.5	9.8	10.75	9.8	14000.0
2001-07-11	9.7	8.9	9.7	8.9	16100.0
2001-07-12	9.1	8.0	9.5	9.5	6700.0
2001-07-13	9.6	9.3	9.7	9.3	19700.0
2001-07-16	8.9	8.9	9.5	9.5	13700.0
2001-07-17	9.6	9.5	12.0	11.75	593000.0
2001-07-18	11.75	10.75	12.25	10.75	216000.0
2001-07-19	11.0	10.75	12.25	11.5	107300.0
2001-07-20	10.75	10.75	10.75	10.75	1500.0
2001-07-23	10.75	10.0	10.75	10.0	700.0
2001-07-24	8.1	8.0	9.2	9.2	11100.0
2001-07-25	9.4	9.2	9.4	9.2	2400.0
2001-07-26	9.4	9.0	9.9	9.2	24100.0
2001-07-27	8.9	8.9	8.9	8.9	100.0
2001-07-31	8.3	8.2	8.4	8.2	2600.0
2001-08-01	8.4	8.4	8.6	8.4	16200.0
2001-08-02	8.5	8.5	8.6	8.6	1000.0
2001-08-03	8.7	8.6	8.7	8.6	7400.0
2001-08-06	8.5	8.5	8.5	8.5	1900.0
