Date	Price Open	Price Low	Price High	Price Close	Volume
2007-11-28	3.9	5.0	5.1	5.0	71999.0
2007-11-29	3.05	5.05	5.1	5.05	13999.0
2007-12-03	3.175	5.05	5.05	5.05	2999.0
2007-12-04	3.225	5.0	5.05	5.05	329999.0
2007-12-06	3.125	5.0	5.0	5.0	789999.0
2007-12-07	3.125	4.85	5.0	4.9	359999.0
2007-12-11	3.1	4.95	5.05	4.975	4196999.0
2007-12-12	3.1	5.0	5.0	5.0	45999.0
2007-12-13	3.075	5.0	5.0	5.0	157999.0
2007-12-14	3.05	5.0	5.0	5.0	33999.0
2007-12-17	3.05	4.95	5.0	4.95	59999.0
2007-12-18	3.125	4.95	4.975	4.95	344999.0
2007-12-19	3.025	4.95	4.95	4.95	24999.0
2007-12-20	3.0	4.9	4.95	4.95	21999.0
2007-12-21	3.0	4.925	4.95	4.95	60999.0
2007-12-25	2.975	4.95	5.0	5.0	154999.0
2007-12-26	3.0	5.0	5.0	5.0	24999.0
2007-12-27	3.0	5.0	5.0	5.0	17999.0
2007-12-28	2.975	5.0	5.4	5.2	359999.0
2008-01-02	3.0	5.4	5.4	5.4	30999.0
2008-01-03	3.025	5.25	5.4	5.35	115999.0
2008-01-04	3.05	5.35	5.8	5.8	1655999.0
2008-01-07	2.95	5.5	5.7	5.7	168999.0
2008-01-08	3.075	5.7	5.7	5.7	94999.0
2008-01-09	3.05	5.7	6.0	5.8	1142999.0
2008-01-10	3.075	5.95	6.1	6.0	538999.0
2008-01-11	3.075	6.0	6.4	6.4	556999.0
2008-01-14	3.075	6.35	6.55	6.5	492999.0
2008-01-15	3.075	6.3	6.6	6.35	840999.0
2008-01-16	3.15	6.0	6.25	6.0	799999.0
2008-01-17	3.075	6.0	6.2	6.2	253999.0
2008-01-18	3.1	5.9	6.05	5.95	781999.0
2008-01-21	3.075	5.85	6.1	5.95	459999.0
2008-01-22	3.1	5.75	5.9	5.9	579999.0
2008-01-23	3.075	6.0	6.4	6.1	608999.0
