Date	Price Open	Price Low	Price High	Price Close	Volume
2017-12-21	4.2	3.9	4.8	4.0	334196400.0
2017-12-22	3.98	3.96	4.24	3.96	73080700.0
2017-12-25	3.98	3.72	4.08	3.72	29126200.0
2017-12-26	3.78	3.44	3.82	3.44	32912300.0
2017-12-27	3.46	3.28	3.58	3.32	32631000.0
2017-12-28	3.34	3.22	3.36	3.22	11677400.0
2017-12-29	3.24	3.24	3.54	3.32	41389200.0
2018-01-03	3.36	3.24	3.38	3.24	10461400.0
2018-01-04	3.26	3.22	3.62	3.44	54497500.0
2018-01-05	3.44	3.38	3.68	3.66	32145600.0
2018-01-08	3.8	3.7	4.02	3.7	63883500.0
2018-01-09	3.66	3.66	4.08	4.08	73786000.0
2018-01-10	4.16	3.88	4.22	3.92	53251200.0
2018-01-11	3.94	3.94	4.42	4.16	112027700.0
2018-01-12	4.28	4.2	4.44	4.42	101236000.0
2018-01-15	4.6	4.46	4.72	4.64	111046100.0
2018-01-16	4.64	4.52	4.76	4.76	68312800.0
2018-01-17	4.7	4.54	4.86	4.58	99838800.0
2018-01-18	4.66	4.24	4.68	4.24	47973100.0
2018-01-19	4.26	4.26	4.44	4.44	53498100.0
2018-01-22	4.52	4.3	4.56	4.3	32915800.0
2018-01-23	4.3	4.22	4.38	4.26	19980000.0
2018-01-24	4.34	4.28	4.46	4.44	41179100.0
2018-01-25	4.46	4.24	4.46	4.28	27278900.0
2018-01-26	4.34	4.26	4.4	4.36	19783400.0
2018-01-29	4.34	4.26	4.34	4.26	14784700.0
2018-01-30	4.26	4.08	4.34	4.22	17595300.0
2018-01-31	4.2	4.16	4.26	4.18	10121100.0
2018-02-01	4.18	4.1	4.2	4.1	5961500.0
2018-02-02	4.12	4.0	4.16	4.0	5351800.0
2018-02-05	3.88	3.84	3.94	3.88	5198300.0
2018-02-06	3.82	3.66	3.82	3.74	7152100.0
2018-02-07	3.82	3.78	3.92	3.78	8548900.0
2018-02-08	3.8	3.8	3.86	3.82	2769400.0
2018-02-09	3.78	3.74	3.84	3.82	3662100.0
2018-02-12	3.86	3.84	4.0	4.0	8357200.0
2018-02-13	4.02	4.0	4.22	4.12	18280300.0
2018-02-14	4.18	4.1	4.22	4.1	15655600.0
2018-02-15	4.12	4.02	4.16	4.06	6791200.0
2018-02-16	4.06	4.04	4.16	4.14	3410400.0
2018-02-19	4.16	4.14	4.24	4.16	7223500.0
2018-02-20	4.16	4.08	4.2	4.1	3663900.0
2018-02-21	4.14	3.92	4.16	3.98	4533600.0
2018-02-22	3.98	3.82	3.98	3.82	3901500.0
2018-02-23	3.84	3.84	3.96	3.96	1498200.0
2018-02-26	4.02	4.02	4.14	4.14	8013200.0
2018-02-27	4.18	3.96	4.22	3.96	9017700.0
2018-02-28	3.96	3.9	4.0	3.96	3171000.0
2018-03-02	3.96	3.9	3.96	3.9	1198600.0
2018-03-05	3.96	3.9	3.96	3.92	685800.0
2018-03-06	3.94	3.86	3.96	3.86	1294100.0
