Date	Price Open	Price Low	Price High	Price Close	Volume
2012-05-09	2.08125	2.00625	2.85	2.85	300539520
2012-05-10	3.1125	3.05625	3.69375	3.69375	213117760
2012-05-11	4.21875	3.7125	4.78125	4.06875	233810240
2012-05-14	4.55625	3.4125	4.55625	3.675	134173226
2012-05-15	3.525	3.3	3.5625	3.31875	48835626
2012-05-16	3.16875	3.0	3.45	3.39375	88896746
2012-05-17	3.31875	3.1125	3.45	3.1125	44532906
2012-05-18	3.09375	2.9625	3.2625	3.0	22236800
2012-05-21	2.8125	2.625	2.8125	2.68125	6053013
2012-05-22	2.71875	2.53125	2.75625	2.53125	4220906
2012-05-23	2.4375	2.23125	2.475	2.23125	7442026
2012-05-24	2.2875	2.23125	2.4375	2.4375	4327893
2012-05-25	2.4375	2.4	2.64375	2.64375	5523840
2012-05-28	2.71875	2.68125	3.13125	3.13125	13319680
2012-05-29	3.1125	2.94375	3.16875	3.13125	6357013
2012-05-30	3.1125	2.98125	3.1125	3.0	2141653
2012-05-31	3.0	2.83125	3.075	2.83125	3494080
2012-06-01	2.85	2.7	2.925	2.83125	2881920
2012-06-05	2.8875	2.68125	2.8875	2.7375	1871253
2012-06-06	2.79375	2.7	2.85	2.775	2706773
2012-06-07	2.8125	2.625	2.8125	2.7	3574933
2012-06-08	2.68125	2.6625	3.15	3.15	30105493
2012-06-11	3.1875	2.9625	3.1875	3.0	34834986
2012-06-12	3.05625	3.0375	3.375	3.20625	121892693
2012-06-13	3.16875	3.01875	3.16875	3.0375	22197440
2012-06-14	3.09375	2.94375	3.1125	3.0	13612586
2012-06-15	3.0375	2.90625	3.05625	2.94375	7655360
2012-06-18	2.85	2.85	3.01875	2.86875	1733333
2012-06-19	2.925	2.86875	2.98125	2.90625	1661973
2012-06-20	2.90625	2.8875	2.925	2.90625	1252053
2012-06-21	2.925	2.86875	2.94375	2.8875	1704320
2012-06-22	2.925	2.79375	2.925	2.8125	1753066
2012-06-25	2.8125	2.75625	2.83125	2.8125	1238613
2012-06-26	2.79375	2.75625	2.8875	2.8125	2239253
2012-06-27	2.8125	2.79375	2.90625	2.90625	3458880
2012-06-28	2.90625	2.85	2.90625	2.8875	1368426
2012-06-29	2.86875	2.85	2.9625	2.925	2278826
2012-07-02	2.925	2.90625	3.0	2.9625	1835733
2012-07-03	2.9625	2.94375	3.0	2.98125	2458986
2012-07-04	3.0	2.98125	3.20625	3.15	19158186
2012-07-05	3.15	3.05625	3.24375	3.13125	13509973
2012-07-06	3.13125	3.075	3.16875	3.15	8368533
2012-07-09	3.1125	3.09375	3.225	3.09375	16168960
2012-07-10	3.13125	3.0375	3.13125	3.09375	3139733
2012-07-11	3.09375	3.075	3.1875	3.1125	6554026
2012-07-12	3.1125	3.0375	3.15	3.05625	3543786
2012-07-13	3.075	3.01875	3.09375	3.05625	2232533
2012-07-16	3.075	3.0375	3.13125	3.0375	2076693
2012-07-17	3.05625	3.0375	3.075	3.075	1732266
2012-07-18	3.075	3.0375	3.075	3.05625	1572480
2012-07-19	3.075	3.05625	3.15	3.1125	13834346
2012-07-20	3.15	3.075	3.15	3.09375	4249066
2012-07-23	3.075	3.05625	3.1125	3.075	3278933
2012-07-24	3.05625	3.01875	3.09375	3.01875	3079786
2012-07-25	3.0375	3.0	3.075	3.01875	2193920
2012-07-26	3.0375	2.925	3.09375	2.94375	2989333
2012-07-27	3.0375	2.94375	3.05625	2.94375	8609386
2012-07-30	2.9625	2.90625	2.98125	2.90625	2145920
2012-07-31	2.925	2.925	3.01875	2.98125	6492693
2012-08-01	2.98125	2.9625	3.0375	3.0	2253546
2012-08-03	3.0	2.9625	3.0	2.98125	2012373
2012-08-06	3.0	2.9625	3.01875	2.98125	1347520
2012-08-07	3.0	2.9625	3.01875	3.0	1588053
2012-08-08	3.0	2.98125	3.1125	2.98125	10172160
2012-08-09	3.0	3.0	3.1125	3.1125	15101866
2012-08-10	3.09375	3.0375	3.15	3.05625	15725440
2012-08-14	3.0375	3.0375	3.1125	3.0375	4330773
2012-08-15	3.0375	2.925	3.0375	2.9625	7320640
2012-08-16	3.0	2.9625	3.0375	3.0	5186986
2012-08-17	3.01875	3.0	3.09375	3.05625	15628053
2012-08-20	3.075	3.0375	3.09375	3.05625	5613440
2012-08-21	3.05625	3.01875	3.075	3.01875	3982826
2012-08-22	3.05625	3.01875	3.05625	3.01875	3276693
2012-08-23	3.01875	3.0	3.05625	3.0	3073066
2012-08-24	2.9625	2.9625	3.0375	3.0	1548906
2012-08-27	3.0	2.9625	3.01875	2.98125	2251520
2012-08-28	2.98125	2.925	2.98125	2.925	3617066
2012-08-29	2.94375	2.925	2.9625	2.925	2585493
2012-08-30	2.925	2.86875	2.9625	2.90625	3054720
2012-08-31	2.925	2.86875	2.9625	2.8875	2077226
2012-09-03	2.90625	2.85	2.90625	2.86875	2275413
2012-09-04	2.86875	2.85	2.8875	2.8875	3040533
2012-09-05	2.8875	2.8875	3.0	2.925	7996693
2012-09-06	2.94375	2.94375	3.0375	2.98125	15041813
2012-09-07	3.01875	2.925	3.01875	2.94375	4449706
2012-09-10	2.9625	2.86875	2.9625	2.90625	3270720
2012-09-11	2.925	2.8875	2.925	2.90625	1799893
2012-09-12	2.925	2.8875	2.925	2.8875	1200960
2012-09-13	2.90625	2.8875	2.94375	2.90625	2828266
2012-09-14	2.94375	2.925	2.9625	2.94375	4413226
2012-09-17	2.925	2.925	2.9625	2.925	1289706
2012-09-18	2.925	2.90625	2.94375	2.925	1216533
2012-09-19	2.925	2.925	3.05625	3.0375	21183146
2012-09-20	3.0375	3.0	3.075	3.01875	6337706
2012-09-21	3.01875	2.98125	3.0375	2.98125	3073386
2012-09-24	3.01875	2.94375	3.01875	2.9625	4002666
2012-09-25	2.9625	2.9625	3.1125	3.01875	19194240
2012-09-26	3.05625	3.01875	3.1875	3.05625	30919253
2012-09-27	3.09375	3.075	3.45	3.2625	125721813
2012-09-28	3.24375	3.09375	3.24375	3.09375	30227626
2012-10-01	3.0375	3.01875	3.1125	3.0375	2529066
2012-10-02	3.0375	3.01875	3.13125	3.0375	2209600
2012-10-03	3.0375	2.9625	3.05625	2.9625	6758613
2012-10-04	2.98125	2.9625	3.0375	3.0	2710826
2012-10-05	2.98125	2.94375	3.01875	2.98125	3225493
2012-10-08	2.9625	2.9625	3.0375	3.0375	2436586
2012-10-09	3.0375	3.0	3.0375	3.01875	1895466
2012-10-10	3.01875	3.0	3.01875	3.0	1234026
2012-10-11	3.0	2.98125	3.0375	3.01875	1940693
2012-10-12	3.01875	3.0	3.1125	3.075	2969066
2012-10-15	3.09375	3.09375	3.225	3.20625	14020586
2012-10-16	3.20625	3.15	3.24375	3.1875	4635413
2012-10-17	3.1875	3.16875	3.24375	3.1875	3499733
2012-10-18	3.1875	3.16875	3.31875	3.31875	12204800
2012-10-19	3.3375	3.2625	3.35625	3.3375	10509226
2012-10-22	3.31875	3.20625	3.31875	3.2625	10596266
2012-10-24	3.2625	3.13125	3.28125	3.16875	7329493
2012-10-25	3.16875	3.05625	3.16875	3.1125	4380053
2012-10-26	3.1125	3.0	3.1125	3.09375	5794133
2012-10-29	3.09375	3.075	3.1125	3.1125	1124586
2012-10-30	3.13125	3.09375	3.16875	3.13125	1406933
2012-10-31	3.13125	3.075	3.13125	3.13125	887680
2012-11-01	3.15	3.075	3.15	3.1125	1328320
2012-11-02	3.15	3.1125	3.225	3.15	9043306
2012-11-05	3.16875	3.13125	3.1875	3.13125	1430826
2012-11-06	3.13125	3.09375	3.15	3.1125	1614400
2012-11-07	3.15	3.09375	3.15	3.1125	1517013
2012-11-08	3.09375	3.0375	3.13125	3.09375	1589440
2012-11-09	3.075	3.0375	3.1125	3.1125	2100693
2012-11-12	3.1125	3.075	3.13125	3.09375	1179946
2012-11-13	3.0375	3.01875	3.05625	3.05625	3802666
2012-11-14	3.0375	2.98125	3.09375	2.98125	1740586
2012-11-15	3.0375	2.85	3.0375	2.94375	3233813
2012-11-16	2.90625	2.90625	2.98125	2.94375	592000
2012-11-19	2.9625	2.925	2.9625	2.94375	422506
2012-11-20	2.94375	2.925	2.94375	2.925	568960
2012-11-21	2.925	2.8875	2.925	2.90625	861013
2012-11-22	2.90625	2.90625	2.94375	2.90625	1030720
2012-11-23	2.90625	2.8875	2.925	2.8875	544533
2012-11-26	2.925	2.925	2.94375	2.925	504106
2012-11-27	2.94375	2.90625	2.94375	2.925	593280
2012-11-28	2.925	2.90625	3.0	2.94375	2112640
2012-11-29	2.9625	2.94375	2.98125	2.9625	873386
2012-11-30	2.9625	2.925	3.1125	3.0	7182506
2012-12-03	3.01875	2.98125	3.0375	2.98125	1643626
2012-12-04	3.01875	2.9625	3.075	3.0	6112000
2012-12-06	3.0	2.98125	3.01875	3.0	1423786
2012-12-07	3.0	2.94375	3.01875	2.98125	1993173
2012-12-11	2.98125	2.94375	3.0	2.9625	1481493
2012-12-12	2.9625	2.9625	3.0	2.9625	1081920
2012-12-13	2.9625	2.94375	3.0375	2.9625	2486506
2012-12-14	2.9625	2.9625	3.0375	2.98125	3685760
2012-12-17	3.0	2.9625	3.0	2.9625	1073280
2012-12-18	2.9625	2.94375	2.9625	2.9625	1323093
2012-12-19	2.9625	2.94375	2.98125	2.9625	1028693
2012-12-20	2.9625	2.94375	2.98125	2.9625	497920
2012-12-21	2.9625	2.94375	2.98125	2.98125	1085866
2012-12-24	2.9625	2.94375	3.0	2.98125	2207360
2012-12-25	2.98125	2.9625	2.98125	2.9625	1389866
2012-12-26	2.9625	2.94375	2.9625	2.9625	2347093
2012-12-27	2.9625	2.90625	2.98125	2.9625	2929706
2012-12-28	2.9625	2.94375	2.98125	2.9625	1257280
2013-01-02	2.9625	2.94375	2.98125	2.98125	1410453
2013-01-03	2.9625	2.9625	3.01875	3.0	2506453
2013-01-04	3.01875	2.98125	3.0375	3.0	1242026
2013-01-07	3.0	2.98125	3.0375	2.98125	4136426
2013-01-08	3.0	2.98125	3.1125	3.1125	7316586
2013-01-09	3.09375	3.0375	3.1125	3.0375	4691840
2013-01-10	3.0375	3.0	3.05625	3.0375	2671253
2013-01-11	3.0375	2.98125	3.0375	3.0	2770240
2013-01-14	3.0	2.98125	3.0375	3.0	1495040
2013-01-15	3.0	2.98125	3.01875	2.98125	1988906
2013-01-16	2.98125	2.9625	2.98125	2.98125	1732266
2013-01-17	3.0	3.0	3.0375	3.0	4338666
2013-01-18	3.0	3.0	3.0375	3.01875	3131093
2013-01-21	3.01875	2.98125	3.0375	3.0	1284693
2013-01-22	3.0	2.9625	3.01875	2.9625	2236693
2013-01-23	2.98125	2.94375	3.0	2.98125	1599680
2013-01-24	3.0	2.9625	3.0	2.98125	1635733
2013-01-25	2.98125	2.98125	3.075	3.0	8711253
2013-01-28	3.05625	3.0	3.05625	3.0	1508906
2013-01-29	3.01875	2.98125	3.01875	3.0	1256960
2013-01-30	3.0	2.98125	3.0375	3.0	2867733
2013-01-31	3.0	3.0	3.0375	3.0	1984000
2013-02-01	3.0	3.0	3.16875	3.15	24463146
2013-02-04	3.13125	3.0375	3.13125	3.0375	9397440
2013-02-05	3.01875	3.01875	3.075	3.0375	2093226
2013-02-06	3.05625	3.0375	3.1125	3.0375	4550506
2013-02-07	3.0375	3.01875	3.05625	3.0375	1366720
2013-02-08	3.01875	3.01875	3.05625	3.01875	1633386
2013-02-11	3.01875	3.0	3.05625	3.0	1588586
2013-02-12	3.01875	3.01875	3.65625	3.35625	135585173
2013-02-13	3.675	3.4125	3.7875	3.46875	134679893
2013-02-14	3.525	3.45	3.69375	3.6	44576000
2013-02-15	3.5625	3.39375	3.61875	3.43125	19683413
2013-02-18	3.39375	3.1875	3.4125	3.28125	3719253
2013-02-19	3.35625	3.24375	3.4125	3.2625	1278613
2013-02-20	3.3375	3.24375	3.3375	3.3	1432746
2013-02-21	3.24375	3.16875	3.35625	3.28125	2649066
2013-02-22	3.24375	3.1875	3.28125	3.24375	738773
2013-02-26	3.24375	3.24375	3.31875	3.24375	2229866
2013-02-27	3.3	3.225	3.3375	3.28125	2685333
2013-02-28	3.31875	3.28125	3.4125	3.35625	2775146
2013-03-01	3.35625	3.3	3.375	3.3	2003840
2013-03-04	3.28125	3.2625	3.31875	3.28125	1307946
2013-03-05	3.31875	3.28125	3.35625	3.3375	2161066
2013-03-06	3.3375	3.3375	3.525	3.46875	7585493
2013-03-07	3.4875	3.46875	3.69375	3.65625	13895786
2013-03-08	3.69375	3.50625	3.69375	3.6	6808746
2013-03-11	3.5625	3.525	3.69375	3.525	10602453
2013-03-12	3.5625	3.43125	3.65625	3.45	8755946
2013-03-13	3.525	3.43125	3.525	3.43125	4835520
2013-03-14	3.45	3.45	3.54375	3.4875	2904320
2013-03-15	3.54375	3.45	3.58125	3.45	2831573
2013-03-18	3.4125	3.375	3.4875	3.4125	2787306
2013-03-19	3.45	3.20625	3.45	3.39375	3032640
2013-03-20	3.375	3.16875	3.375	3.1875	2784640
2013-03-21	3.16875	3.15	3.28125	3.16875	1894613
2013-03-22	3.16875	2.9625	3.16875	3.075	5493120
2013-03-25	3.01875	3.01875	3.2625	3.15	1193386
2013-03-26	3.1875	3.16875	3.39375	3.3	4624960
2013-03-27	3.31875	3.2625	3.39375	3.3	1502506
2013-03-28	3.3	3.13125	3.3	3.225	2030720
2013-03-29	3.28125	3.1875	3.3	3.225	659520
2013-04-01	3.2625	3.1875	3.3375	3.1875	5641066
2013-04-02	3.225	3.1875	3.2625	3.24375	1223893
2013-04-03	3.24375	3.15	3.3	3.1875	2136533
2013-04-04	3.09375	3.09375	3.225	3.225	990933
2013-04-05	3.1875	3.15	3.20625	3.16875	374400
2013-04-09	3.225	3.13125	3.24375	3.20625	2200746
2013-04-10	3.20625	3.15	3.225	3.1875	738880
2013-04-11	3.20625	3.15	3.225	3.20625	337280
2013-04-12	3.16875	3.15	3.3	3.20625	1060800
2013-04-17	3.16875	3.09375	3.20625	3.09375	659840
2013-04-18	3.16875	3.13125	3.16875	3.15	357973
2013-04-19	3.225	3.15	3.225	3.16875	313280
2013-04-22	3.1875	3.13125	3.1875	3.16875	897173
2013-04-23	3.16875	3.13125	3.16875	3.13125	1237013
2013-04-24	3.15	3.13125	3.16875	3.13125	411946
2013-04-25	3.13125	3.13125	3.20625	3.1875	1487680
2013-04-26	3.225	3.1875	3.2625	3.24375	1190613
2013-04-29	3.2625	3.225	3.28125	3.2625	1437760
2013-04-30	3.31875	3.2625	3.375	3.31875	3910720
2013-05-02	3.3375	3.3	3.45	3.3	6841386
2013-05-03	3.35625	3.2625	3.35625	3.3	774826
2013-05-07	3.3375	3.2625	3.3375	3.28125	1072640
2013-05-08	3.31875	3.2625	3.39375	3.39375	2218453
2013-05-09	3.50625	3.50625	4.14375	3.61875	154474026
2013-05-10	3.6	3.525	3.65625	3.58125	14086293
2013-05-13	3.54375	3.43125	3.6	3.50625	2628906
2013-05-14	3.50625	3.43125	3.58125	3.4875	1318293
2013-05-15	3.525	3.45	3.525	3.50625	917653
2013-05-16	3.54375	3.43125	3.54375	3.46875	1462186
2013-05-17	3.50625	3.39375	3.50625	3.46875	1078186
2013-05-20	3.46875	3.4125	3.46875	3.4125	698133
2013-05-21	3.46875	3.4125	3.65625	3.4875	1619200
2013-05-22	3.50625	3.45	3.50625	3.50625	1031146
2013-05-23	3.54375	3.4125	3.5625	3.46875	1698666
2013-05-27	3.4875	3.43125	3.50625	3.46875	728426
2013-05-28	3.45	3.43125	3.50625	3.4875	1135360
2013-05-29	3.4875	3.45	3.50625	3.4875	897493
2013-05-30	3.4875	3.43125	3.4875	3.46875	1181333
2013-05-31	3.46875	3.4125	3.46875	3.46875	1529493
2013-06-03	3.46875	3.4125	3.46875	3.4125	664960
2013-06-04	3.43125	3.375	3.43125	3.4125	698560
2013-06-05	3.45	3.3375	3.45	3.35625	1581333
2013-06-06	3.3375	3.15	3.4125	3.28125	2895466
2013-06-07	3.2625	3.1875	3.39375	3.375	1574080
2013-06-10	3.375	3.3	3.45	3.3375	214506
2013-06-11	3.3	3.13125	3.3	3.24375	1803626
2013-06-12	3.13125	3.1125	3.3375	3.20625	1195626
2013-06-13	3.13125	3.0375	3.2625	3.16875	1737386
2013-06-14	3.1875	3.13125	3.2625	3.2625	396160
2013-06-17	3.24375	3.16875	3.31875	3.3	229333
2013-06-18	3.28125	3.1125	3.375	3.16875	1473706
2013-06-19	3.20625	3.16875	3.2625	3.1875	320640
2013-06-20	3.13125	3.09375	3.225	3.1125	728960
2013-06-21	3.15	3.09375	3.16875	3.16875	642986
2013-06-24	3.15	3.1125	3.24375	3.13125	603626
2013-06-25	3.15	2.71875	3.16875	2.8875	3198720
2013-06-26	2.9625	2.86875	2.9625	2.94375	1130880
2013-06-27	2.9625	2.94375	3.15	3.1125	1352106
2013-06-28	3.16875	3.075	3.20625	3.09375	622293
2013-07-02	3.1125	3.075	3.15	3.13125	280000
2013-07-03	3.13125	3.075	3.375	3.1875	2797120
2013-07-04	3.225	3.1875	3.31875	3.31875	2668800
2013-07-05	3.375	3.28125	3.46875	3.375	4490773
2013-07-08	3.375	3.24375	3.43125	3.3375	953066
2013-07-09	3.375	3.16875	3.375	3.2625	1369813
2013-07-10	3.2625	2.98125	3.3	3.05625	2426773
2013-07-11	3.075	3.05625	3.1875	3.1125	1536960
2013-07-12	3.1125	3.075	3.13125	3.09375	589120
2013-07-15	3.1125	3.09375	3.13125	3.1125	584746
2013-07-16	3.1875	3.075	3.1875	3.1125	452266
2013-07-17	3.09375	3.05625	3.15	3.13125	881920
2013-07-18	3.13125	3.075	3.225	3.225	1192533
2013-07-19	3.15	3.13125	3.24375	3.1875	560106
2013-07-23	3.20625	3.15	3.20625	3.1875	239573
2013-07-24	3.20625	3.01875	3.20625	3.13125	922133
2013-07-25	3.13125	3.0375	3.15	3.075	618026
2013-07-26	3.09375	3.075	3.1875	3.13125	438186
2013-07-29	3.1125	3.075	3.13125	3.09375	140800
2013-07-30	3.09375	3.075	3.20625	3.1125	1154986
2013-07-31	3.1125	3.01875	3.1125	3.09375	487680
2013-08-01	3.09375	3.05625	3.13125	3.09375	307946
2013-08-02	3.09375	3.05625	3.13125	3.09375	1125333
2013-08-05	3.09375	3.075	3.13125	3.1125	345706
2013-08-06	3.1125	3.09375	3.1875	3.09375	3265280
2013-08-07	3.1125	3.1125	3.16875	3.16875	808533
2013-08-08	3.16875	3.16875	3.3	3.24375	6242026
2013-08-09	3.2625	3.24375	3.45	3.35625	18262186
2013-08-13	3.39375	3.24375	3.4125	3.28125	2433600
2013-08-14	3.3	3.2625	3.3375	3.28125	1161706
2013-08-15	3.28125	3.16875	3.28125	3.225	1044160
2013-08-16	3.16875	3.16875	3.20625	3.20625	422293
2013-08-19	3.225	3.09375	3.225	3.13125	1960000
2013-08-20	3.075	3.05625	3.15	3.09375	1624426
2013-08-21	3.13125	3.075	3.13125	3.09375	801280
2013-08-22	3.05625	2.98125	3.15	3.0375	3056000
2013-08-23	3.0375	2.98125	3.0375	2.98125	576853
2013-08-26	2.9625	2.9625	3.0375	3.01875	207146
2013-08-27	3.01875	2.94375	3.075	2.98125	768426
2013-08-28	2.9625	2.925	3.1125	3.01875	1190506
2013-08-29	3.075	2.98125	3.075	3.01875	465173
2013-08-30	3.0375	2.98125	3.09375	3.0375	262293
2013-09-02	3.0375	3.01875	3.09375	3.09375	232640
