Date	Price Open	Price Low	Price High	Price Close	Volume
2019-05-21	1.17302992	1.13590872	1.299242	1.299242	259860400
2019-05-22	1.299242	1.13590872	1.30666624	1.13590872	84043800
2019-05-23	1.12106024	1.113636	1.17302992	1.13590872	33369600
2019-05-24	1.14333296	1.13590872	1.15818144	1.13590872	9714300
2019-05-27	1.14333296	1.13590872	1.15818144	1.13590872	11351400
2019-05-28	1.14333296	1.14333296	1.16560568	1.15818144	12163400
2019-05-29	1.15818144	1.12848448	1.15818144	1.13590872	5767300
2019-05-30	1.14333296	1.12848448	1.14333296	1.13590872	3476100
2019-05-31	1.13590872	1.12106024	1.14333296	1.12848448	1788800
2019-06-04	1.12848448	1.09878752	1.14333296	1.12848448	9537500
2019-06-05	1.13590872	1.12106024	1.13590872	1.12106024	4179400
2019-06-06	1.12848448	1.12106024	1.14333296	1.12848448	5926300
2019-06-07	1.12848448	1.12106024	1.13590872	1.12106024	1997800
2019-06-10	1.12848448	1.113636	1.12848448	1.113636	1865000
2019-06-11	1.12106024	1.113636	1.13590872	1.113636	14706300
2019-06-12	1.12106024	1.113636	1.12106024	1.113636	1933800
2019-06-13	1.12106024	1.10621176	1.12848448	1.12106024	2569400
2019-06-14	1.12106024	1.10621176	1.12848448	1.10621176	1904100
2019-06-17	1.113636	1.06909056	1.113636	1.06909056	10965500
2019-06-18	1.08393904	1.08393904	1.10621176	1.09136328	11561800
2019-06-19	1.09136328	1.08393904	1.09878752	1.09878752	20408100
2019-06-20	1.09878752	1.08393904	1.113636	1.113636	12258200
2019-06-21	1.113636	1.09136328	1.113636	1.09136328	14593000
2019-06-24	1.09878752	1.08393904	1.113636	1.10621176	10400900
2019-06-25	1.10621176	1.0765148	1.10621176	1.09136328	15033600
2019-06-26	1.09878752	1.08393904	1.09878752	1.09136328	1708000
2019-06-27	1.09136328	1.08393904	1.113636	1.10621176	36086700
2019-06-28	1.09878752	1.09136328	1.113636	1.113636	11341100
2019-07-01	1.113636	1.09878752	1.12106024	1.113636	13234300
2019-07-02	1.10621176	1.09136328	1.12106024	1.10621176	4331400
2019-07-03	1.10621176	1.09136328	1.10621176	1.10621176	2240100
2019-07-04	1.10621176	1.09136328	1.10621176	1.09136328	2627800
2019-07-05	1.09878752	1.09136328	1.10621176	1.10621176	2446900
2019-07-08	1.09878752	1.09136328	1.113636	1.09878752	6343000
2019-07-09	1.14333296	1.14333296	1.21757536	1.21015112	189035400
2019-07-10	1.21015112	1.15818144	1.21757536	1.16560568	81946600
2019-07-11	1.18045416	1.16560568	1.25469656	1.23984808	125903800
2019-07-12	1.2621208	1.2249996	1.26954504	1.23984808	72685700
2019-07-15	1.25469656	1.2249996	1.2621208	1.2249996	26046000
2019-07-17	1.23984808	1.23242384	1.2621208	1.24727232	29495500
2019-07-18	1.23984808	1.23242384	1.25469656	1.25469656	23568600
2019-07-19	1.26954504	1.24727232	1.28439352	1.26954504	52256400
2019-07-22	1.26954504	1.23984808	1.26954504	1.23984808	12647500
2019-07-23	1.24727232	1.18045416	1.25469656	1.18045416	30806600
2019-07-24	1.1878784	1.1878784	1.23242384	1.1878784	45697400
2019-07-25	1.19530264	1.18045416	1.21015112	1.18045416	12063000
2019-07-26	1.18045416	1.13590872	1.1878784	1.1507572	14878200
2019-07-30	1.15818144	1.13590872	1.16560568	1.13590872	6285900
2019-07-31	1.14333296	1.14333296	1.17302992	1.15818144	13385200
2019-08-01	1.17302992	1.14333296	1.17302992	1.1507572	6137200
2019-08-02	1.14333296	1.113636	1.1507572	1.12848448	17768400
2019-08-05	1.12106024	1.12106024	1.13590872	1.12106024	1788100
2019-08-06	1.10621176	1.09878752	1.13590872	1.12848448	4763100
2019-08-07	1.13590872	1.12848448	1.1507572	1.13590872	3099200
2019-08-08	1.14333296	1.12848448	1.1507572	1.13590872	2542100
2019-08-09	1.13590872	1.10621176	1.13590872	1.113636	5963200
2019-08-13	1.113636	1.09878752	1.12106024	1.09878752	1893800
2019-08-14	1.12106024	1.08393904	1.12848448	1.10621176	5066300
2019-08-15	1.09878752	1.09136328	1.13590872	1.13590872	5039400
2019-08-16	1.13590872	1.12848448	1.15818144	1.1507572	7466900
2019-08-19	1.15818144	1.14333296	1.16560568	1.16560568	4480500
2019-08-20	1.16560568	1.12848448	1.16560568	1.14333296	4545000
2019-08-21	1.14333296	1.13590872	1.14333296	1.14333296	1196300
2019-08-22	1.14333296	1.12848448	1.14333296	1.12848448	1615700
2019-08-23	1.113636	1.113636	1.1507572	1.1507572	2126400
2019-08-26	1.13590872	1.12106024	1.14333296	1.13590872	4006000
2019-08-27	1.10621176	1.09878752	1.113636	1.113636	2255500
2019-08-28	1.113636	1.113636	1.1507572	1.12106024	8683300
2019-08-29	1.16560568	1.15818144	1.20272688	1.18045416	24870700
2019-08-30	1.1878784	1.15818144	1.19530264	1.16560568	7010700
2019-09-02	1.17302992	1.17302992	1.19530264	1.18045416	9874000
2019-09-03	1.1878784	1.15818144	1.19530264	1.15818144	7772100
2019-09-04	1.16560568	1.15818144	1.18045416	1.16560568	3182500
2019-09-05	1.17302992	1.15818144	1.18045416	1.15818144	4115600
2019-09-06	1.16560568	1.1507572	1.17302992	1.15818144	1469100
2019-09-09	1.16560568	1.16560568	1.20272688	1.17302992	18960000
2019-09-10	1.17302992	1.12106024	1.17302992	1.12848448	12443600
2019-09-11	1.13590872	1.12106024	1.14333296	1.12106024	3064200
2019-09-12	1.13590872	1.12106024	1.14333296	1.12106024	1893000
2019-09-13	1.12848448	1.113636	1.1507572	1.14333296	7478300
2019-09-16	1.14333296	1.12848448	1.1507572	1.12848448	1992900
2019-09-17	1.12848448	1.12106024	1.14333296	1.12106024	3086700
2019-09-18	1.12106024	1.10621176	1.12848448	1.113636	1203800
2019-09-19	1.12106024	1.09136328	1.12106024	1.09878752	2932900
2019-09-20	1.113636	1.08393904	1.113636	1.09136328	4682300
2019-09-23	1.09878752	1.09136328	1.10621176	1.09136328	1066900
2019-09-24	1.09136328	1.09136328	1.113636	1.09878752	1940400
2019-09-25	1.10621176	1.09136328	1.10621176	1.09136328	377000
2019-09-26	1.09878752	1.09878752	1.10621176	1.09878752	696700
2019-09-27	1.10621176	1.09136328	1.10621176	1.09878752	454300
2019-09-30	1.10621176	1.09136328	1.10621176	1.09136328	718700
2019-10-01	1.09136328	1.08393904	1.09878752	1.09878752	804700
2019-10-02	1.09878752	1.08393904	1.09878752	1.09136328	392800
2019-10-03	1.08393904	1.0765148	1.09136328	1.08393904	516500
2019-10-04	1.09136328	1.08393904	1.09136328	1.08393904	321200
2019-10-07	1.09136328	1.0765148	1.09136328	1.0765148	433300
2019-10-08	1.09136328	1.06166632	1.09136328	1.06909056	2649500
2019-10-09	1.08393904	1.08393904	1.113636	1.08393904	9379200
2019-10-10	1.08393904	1.08393904	1.09878752	1.08393904	2927700
2019-10-11	1.09136328	1.08393904	1.09878752	1.08393904	585500
2019-10-15	1.09136328	1.0765148	1.09136328	1.0765148	1011600
