Date	Price Open	Price Low	Price High	Price Close	Volume
2000-01-04	8.45	8.45	8.45	8.45	999.0
2000-01-05	8.4	8.4	8.6	8.6	9999.0
2000-01-06	8.2	8.1	8.2	8.1	2999.0
2000-01-17	7.9	7.9	7.9	7.9	1999.0
2000-01-18	7.95	7.95	8.45	8.45	21999.0
2000-01-20	8.35	8.35	8.4	8.4	3999.0
2000-01-25	8.0	8.0	8.0	8.0	4999.0
2000-01-27	7.9	7.9	7.9	7.9	1999.0
2000-01-31	7.9	7.9	7.95	7.95	76999.0
2000-02-01	7.8	7.8	7.8	7.8	5999.0
2000-02-02	7.85	7.85	7.9	7.9	3999.0
2000-02-03	7.85	7.75	7.85	7.75	10999.0
2000-02-04	7.75	7.75	7.85	7.85	4999.0
2000-02-07	7.85	7.85	7.9	7.9	3999.0
2000-02-08	7.9	7.9	8.0	7.95	18999.0
2000-02-09	7.95	7.95	8.0	7.95	4999.0
2000-02-10	7.95	7.95	7.95	7.95	1999.0
2000-02-11	7.75	7.75	7.75	7.75	23999.0
2000-02-14	7.75	7.75	7.75	7.75	3999.0
2000-02-15	7.8	7.8	7.8	7.8	22999.0
2000-02-16	7.75	7.75	7.75	7.75	2999.0
2000-02-17	7.75	7.7	7.75	7.7	125999.0
2000-02-18	7.6	7.6	7.6	7.6	14999.0
2000-02-23	7.5	7.45	7.5	7.45	36999.0
2000-02-24	7.45	7.1	7.45	7.1	110999.0
2000-03-01	7.15	7.15	7.15	7.15	2999.0
2000-03-08	7.2	7.2	7.2	7.2	9999.0
2000-03-09	7.6	7.6	7.6	7.6	999.0
2000-03-14	7.2	7.1	7.2	7.2	39999.0
2000-03-15	7.5	7.5	7.65	7.65	4999.0
2000-03-16	7.6	7.55	7.7	7.6	32999.0
2000-03-17	7.8	7.8	8.0	8.0	5999.0
2000-03-21	7.9	7.9	7.9	7.9	49999.0
2000-03-22	7.8	7.8	7.8	7.8	35999.0
2000-03-24	7.8	7.65	7.8	7.65	99999.0
