Date	Price Open	Price Low	Price High	Price Close	Volume
2016-11-28	9.362915691	9.223862487	9.455617826	9.270213555	4277419
2016-11-29	9.362915691	9.270213555	9.455617826	9.362915691	12443357
2016-11-30	9.362915691	9.362915691	9.455617826	9.362915691	8989696
2016-12-01	9.362915691	9.362915691	9.362915691	9.362915691	2461904
2016-12-02	9.362915691	9.270213555	9.362915691	9.362915691	6446262
2016-12-06	9.362915691	9.270213555	9.362915691	9.270213555	192485
2016-12-07	9.270213555	9.270213555	9.362915691	9.270213555	908513
2016-12-08	9.362915691	9.270213555	9.362915691	9.362915691	2710221
2016-12-09	9.362915691	9.270213555	9.362915691	9.362915691	1786390
2016-12-13	9.362915691	9.362915691	9.455617826	9.362915691	2010621
2016-12-14	9.362915691	9.270213555	9.362915691	9.362915691	1551980
2016-12-15	9.362915691	9.270213555	9.362915691	9.270213555	1593803
2016-12-16	9.270213555	9.270213555	9.362915691	9.362915691	350707
2016-12-19	9.362915691	9.362915691	9.362915691	9.362915691	20659
2016-12-20	9.270213555	9.270213555	9.362915691	9.362915691	203773
2016-12-21	9.362915691	9.270213555	9.362915691	9.362915691	176562
2016-12-22	9.270213555	9.270213555	9.270213555	9.270213555	273612
2016-12-23	9.270213555	9.223862487	9.270213555	9.270213555	44140
2016-12-26	9.270213555	9.223862487	9.270213555	9.223862487	553674
2016-12-27	9.223862487	9.223862487	9.223862487	9.223862487	162151
2016-12-28	9.223862487	9.177511419	9.270213555	9.270213555	8263
2016-12-29	9.223862487	9.223862487	9.270213555	9.270213555	123049
2016-12-30	9.223862487	9.223862487	9.270213555	9.270213555	633288
2017-01-04	9.270213555	9.270213555	9.362915691	9.362915691	590558
2017-01-05	9.362915691	9.270213555	9.362915691	9.270213555	727213
2017-01-06	9.270213555	9.270213555	9.270213555	9.270213555	141593
2017-01-09	9.270213555	9.270213555	9.270213555	9.270213555	19450
2017-01-10	9.270213555	9.223862487	9.270213555	9.270213555	54520
2017-01-11	9.223862487	9.223862487	9.270213555	9.270213555	269984
2017-01-12	9.223862487	9.223862487	9.270213555	9.270213555	1184544
2017-01-13	9.270213555	9.270213555	9.270213555	9.270213555	621094
2017-01-16	9.270213555	9.270213555	9.270213555	9.270213555	6248
2017-01-17	9.270213555	9.270213555	9.270213555	9.270213555	23783
2017-01-18	9.223862487	9.223862487	9.270213555	9.270213555	13504
2017-01-19	9.270213555	9.270213555	9.270213555	9.270213555	37187
2017-01-20	9.223862487	9.223862487	9.270213555	9.270213555	135042
2017-01-23	9.270213555	9.223862487	9.270213555	9.270213555	327729
2017-01-24	9.223862487	9.223862487	9.270213555	9.270213555	264239
2017-01-25	9.223862487	9.223862487	9.270213555	9.270213555	143507
2017-01-26	9.223862487	9.223862487	9.270213555	9.223862487	173640
2017-01-27	9.223862487	9.223862487	9.223862487	9.223862487	24892
2017-01-30	9.223862487	9.223862487	9.270213555	9.270213555	107933
2017-01-31	9.223862487	9.223862487	9.270213555	9.270213555	52807
2017-02-01	9.223862487	9.131160352	9.223862487	9.223862487	715422
2017-02-02	9.177511419	9.177511419	9.270213555	9.270213555	315535
2017-02-03	9.223862487	9.223862487	9.270213555	9.270213555	42024
2017-02-06	9.270213555	9.223862487	9.270213555	9.223862487	39101
2017-02-07	9.223862487	9.223862487	9.223862487	9.223862487	38900
2017-02-08	9.270213555	9.131160352	9.270213555	9.131160352	453903
2017-02-09	9.131160352	9.131160352	9.223862487	9.223862487	9170
2017-02-10	9.223862487	9.223862487	9.223862487	9.223862487	22271
2017-02-14	9.223862487	9.223862487	9.223862487	9.223862487	65908
2017-02-15	9.223862487	9.177511419	9.223862487	9.177511419	282178
2017-02-16	9.223862487	9.177511419	9.223862487	9.223862487	2620
2017-02-17	9.223862487	9.177511419	9.223862487	9.223862487	13201
2017-02-20	9.223862487	9.223862487	9.223862487	9.223862487	7356
2017-02-21	9.177511419	9.177511419	9.177511419	9.177511419	5038
2017-02-22	9.177511419	9.177511419	9.223862487	9.223862487	40915
2017-02-23	9.177511419	9.177511419	9.223862487	9.223862487	150663
2017-02-24	9.177511419	9.131160352	9.177511419	9.131160352	87878
2017-02-27	9.131160352	9.084809284	9.177511419	9.131160352	410670
2017-02-28	9.131160352	9.131160352	9.270213555	9.270213555	854597
2017-03-01	9.223862487	9.177511419	9.223862487	9.177511419	91405
2017-03-02	9.177511419	9.177511419	9.177511419	9.177511419	16628
