Date	Price Open	Price Low	Price High	Price Close	Volume
2022-08-02	4.5	2.62	4.5	2.62	1162519900
2022-08-03	2.68	2.46	2.7	2.54	106615700
2022-08-04	2.56	2.48	2.62	2.52	96745100
2022-08-05	2.52	2.52	2.64	2.52	65335200
2022-08-08	2.54	2.48	2.56	2.52	26218300
2022-08-09	2.54	2.52	2.6	2.56	33910200
2022-08-10	2.56	2.42	2.62	2.44	48666500
2022-08-11	2.48	2.28	2.5	2.3	36340000
2022-08-15	2.32	2.24	2.34	2.24	16415200
2022-08-16	2.26	2.24	2.3	2.28	15270600
2022-08-17	2.3	2.26	2.36	2.28	15885900
2022-08-18	2.28	2.24	2.3	2.26	5785000
2022-08-19	2.28	2.26	2.34	2.26	16306000
2022-08-22	2.28	2.14	2.28	2.16	18033000
2022-08-23	2.18	2.08	2.18	2.08	10985200
2022-08-24	2.08	2.08	2.16	2.08	18790800
2022-08-25	2.1	2.08	2.16	2.1	20755800
2022-08-26	2.12	2.12	2.22	2.16	31572000
2022-08-29	2.08	2.08	2.14	2.12	9994000
2022-08-30	2.14	2.14	2.2	2.2	8105700
2022-08-31	2.22	2.2	2.28	2.2	19591400
2022-09-01	2.2	2.12	2.2	2.12	8066800
2022-09-02	2.14	2.1	2.18	2.14	8126100
2022-09-05	2.12	2.1	2.16	2.12	4249300
2022-09-06	2.14	2.12	2.22	2.2	17616900
2022-09-07	2.2	2.18	2.26	2.2	18465800
2022-09-08	2.22	2.18	2.24	2.18	7142300
2022-09-09	2.18	2.16	2.3	2.26	29200200
2022-09-12	2.24	2.24	2.28	2.24	10426000
2022-09-13	2.26	2.24	2.4	2.36	40408300
2022-09-14	2.3	2.28	2.38	2.36	16652200
2022-09-15	2.36	2.3	2.46	2.32	25107700
2022-09-16	2.32	2.26	2.36	2.26	8137500
2022-09-19	2.28	2.22	2.32	2.22	15357700
2022-09-20	2.26	2.22	2.32	2.28	9757500
2022-09-21	2.3	2.3	2.5	2.34	126700200
2022-09-22	2.34	2.3	2.44	2.4	32935500
2022-09-23	2.42	2.36	2.42	2.38	11828500
2022-09-26	2.36	2.28	2.36	2.28	16350000
2022-09-27	2.28	2.16	2.32	2.2	25402800
2022-09-28	2.18	2.18	2.28	2.22	17457300
2022-09-29	2.24	2.16	2.28	2.16	10726900
2022-09-30	2.16	2.12	2.18	2.14	7666400
2022-10-03	2.14	2.06	2.16	2.1	6809900
2022-10-04	2.14	2.08	2.16	2.1	4772700
2022-10-05	2.12	2.1	2.22	2.16	15341900
2022-10-06	2.16	2.16	2.24	2.18	6095100
2022-10-07	2.18	2.1	2.2	2.12	5490700
2022-10-10	2.1	2.06	2.12	2.1	3831200
2022-10-11	2.1	2.06	2.14	2.08	5184200
2022-10-12	2.1	2.06	2.1	2.06	4735100
2022-10-17	2.06	1.93	2.06	1.96	13066700
2022-10-18	1.98	1.97	2.06	2.02	10958200
2022-10-19	2.02	1.97	2.04	1.99	7755100
2022-10-20	2.02	2.0	2.1	2.02	7855300
2022-10-21	2.02	2.0	2.04	2.0	1757400
2022-10-25	2.02	1.97	2.02	1.97	3633500
2022-10-26	1.98	1.98	2.04	1.99	2984400
2022-10-27	1.99	1.98	2.02	1.98	1970800
2022-10-28	1.99	1.97	2.02	1.97	2812300
2022-10-31	1.98	1.98	2.02	1.99	1922600
2022-11-01	1.99	1.98	2.0	2.0	1321200
2022-11-02	2.0	1.97	2.0	1.97	1216500
2022-11-03	1.98	1.97	2.1	2.1	11979100
2022-11-04	2.1	2.06	2.12	2.06	6540200
2022-11-07	2.06	2.02	2.08	2.04	1983900
2022-11-08	2.04	2.04	2.16	2.08	11688100
2022-11-09	2.1	2.08	2.14	2.08	6515000
2022-11-10	2.1	2.08	2.12	2.08	3271200
2022-11-11	2.1	2.1	2.18	2.12	10219100
2022-11-14	2.12	2.04	2.12	2.04	4699300
2022-11-15	2.04	2.04	2.1	2.06	1827700
