Date	Price Open	Price Low	Price High	Price Close	Volume
2017-08-17	5.050045	4.58111225	5.1221885	4.6893275	166523700
2017-08-18	4.65325575	4.58111225	4.79754275	4.65325575	67295000
2017-08-21	4.6893275	4.472897	4.72539925	4.472897	25563500
2017-08-22	4.472897	4.43682525	4.58111225	4.472897	23029400
2017-08-23	4.50896875	4.50896875	4.6893275	4.50896875	42130400
2017-08-24	4.5450405	4.472897	4.58111225	4.472897	17905500
2017-08-25	4.50896875	4.472897	4.5450405	4.50896875	10469900
2017-08-28	4.5450405	4.50896875	4.617184	4.58111225	10490400
2017-08-29	4.617184	4.472897	4.617184	4.50896875	7484900
2017-08-30	4.5450405	4.43682525	4.58111225	4.50896875	14624100
2017-08-31	4.5450405	4.50896875	4.617184	4.5450405	15033800
2017-09-01	4.58111225	4.472897	4.58111225	4.50896875	5511200
2017-09-04	4.50896875	4.472897	4.65325575	4.5450405	14906400
2017-09-05	4.58111225	4.50896875	4.65325575	4.5450405	20871900
2017-09-06	4.5450405	4.5450405	5.59112125	4.905758	413223900
2017-09-07	4.94182975	4.72539925	5.1221885	4.86968625	83914100
2017-09-08	4.94182975	4.905758	5.2664755	5.194332	105058800
2017-09-11	5.30254725	5.23040375	5.66326475	5.23040375	144690500
2017-09-12	5.23040375	5.194332	5.338619	5.23040375	32102400
2017-09-13	5.30254725	5.15826025	5.4107625	5.23040375	27381600
2017-09-14	5.2664755	5.08611675	5.30254725	5.15826025	17141000
2017-09-15	5.23040375	5.194332	5.627193	5.30254725	108922200
2017-09-18	5.37469075	4.9779015	5.37469075	5.01397325	53617500
2017-09-19	5.01397325	4.94182975	5.15826025	5.08611675	30867000
2017-09-20	5.1221885	5.01397325	5.194332	5.15826025	21554500
2017-09-21	5.194332	5.08611675	5.2664755	5.08611675	22259400
2017-09-22	5.1221885	5.01397325	5.1221885	5.08611675	10755400
2017-09-25	5.08611675	5.050045	5.194332	5.15826025	22042300
2017-09-26	5.15826025	5.01397325	5.23040375	5.050045	12608200
2017-09-27	5.08611675	4.905758	5.08611675	4.905758	14655800
